id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion
1,C3,2499000,2499000,125251,2024-11-05,"Hidalgo,Tulancingo,Almicar Residencial,Casa ,Venta",105,220,23800.0,11359.09090909091,2023-12-23,231,7,2024-08-13,Casa,Venta,2,6,4,1,4.5,No,,la herradura,tulancingo de bravo,hidalgo,la herradura,43695.0,"La Herradura, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-60e84bf363a9-7428-752d4dc9-bdcf-3afb,"-Entrega Inmediata - Previa Cita Casa Ubicada en el Fraccionamiento Almicar que cuenta con las Siguientes Características:105 m2 de Terreno, 220 m2 de Construcción.Casa Construida en 3 niveles.Planta Baja: Garaje para 1 Auto, Sala Comedor, Cocina, Patio de Servicio, 1/2 Baño, Cisterna y Escaleras.2 Nivel: 3 Recamaras la Principal con Baño Completo y Vestidor, 1 Baño Completo.3 Nivel: 3 Recamaras la Principal con Baño, 1 Baños Completo.Cuenta con Acceso desde la Avenida Gilberto Gomez Carbajal.Cerca de Escuelas, Parques, Mercados.A solo 20 Minutos del Centro de Tula Hidalgo.Haz tu mejor oferta sobre el valor de venta y cómpralo a un super precio.Previa cita para conocerlo; posesión inmediata. Solo contado Documentación en regla.  Sin anticipos, sin apartados. No se aceptan pagos en línea.Los inmuebles están sujetos a cambio de precio, sin previo aviso. Todo el proceso ante notario público.Tenemos inmuebles en venta y renta a nivel nacional. EasyBroker ID: EB-LQ9393"
2,D1,1100000,1100000,55132,2024-11-05,VENTA DE CASA ECONOMICA DE 4 RECAMARAS EN COLONIA EL PARAISO EN TULANCINGO HIDALGO,160,100,6875.0,11000.0,2023-04-29,470,15,2024-08-13,Casa,Venta,2,4,3,1,3.5,No,,tulancingo centro,tulancingo de bravo,hidalgo,tulancingo centro,43600.0,"Tulancingo Centro, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-46863522d18d-457e-9ef05d1f-a468-3838,"Venta de casa económica de 4 recamaras en el paraíso.A tan solo 10 min del centro de TulancingoA 3 minutos del circuito ChapultepecTransporte público pasa frente a la casa.Cercania con escuelas, iglesia, mercado y Bodega Aurrera 160 metros de terreno100 metros de construcción aprox 4 recamaras 3 baños y medio Sala.Comedor.Cocina Estacionamiento para 3 autosPatio de servicio amplio 1 bodega Acepto créditos INFONAVIT FOVISSSTE ISSFAM IMSS BANCARIOS PAGOS DE CONTADO Contactar"
3,C3,2400000,2400000,120289,2024-11-05,"Casa exclusiva en  en venta. Privada, áreas verdes y cerca de todo",119,154,20168.067226890755,15584.415584415585,2023-04-20,479,15,2024-08-13,Casa,Venta,2,4,3,0,3.0,No,,valle verde,tulancingo de bravo,hidalgo,valle verde,43648.0,"Valle Verde, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-ce9992e02793-f83a-4951d748-8ce1-3d41,"Descubre la comodidad y el lujo en esta casa ubicada en una exclusiva privada con acceso automatizado. Esta propiedad no solo ofrece seguridad y privacidad, sino también un ambiente familiar perfecto, con juegos infantiles, áreas verdes y zona de asadores para disfrutar de momentos inolvidables en compañía de sus seres queridos. Imagina vivir a menos de 5 minutos de Plaza Patio Tulancingo, donde encontrarás todo lo que necesitas al alcance de tu mano: tiendas, restaurantes, entretenimiento y servicios. Esta ubicación privilegiada te permite disfrutar de la comodidad y el dinamismo de la ciudad, sin renunciar a la tranquilidad de tu hogar. La casa está distribuida de la siguiente manera: Planta Baja: Garage para 2 autos: Olvídate de los problemas de estacionamiento y disfruta de la comodidad de tener tus vehículos protegidos. Sala y comedor: Espacios amplios y acogedores, ideales para relajarte y recibir a tus invitados. Cocina: Diseñada para inspirar tus mejores creaciones culinarias. Baño de visitas: Práctico y funcional para tus invitados. Área de servicio: Todo lo que necesitas al alcance de tu mano. Patio interior: Un espacio perfecto para momentos de tranquilidad al aire libre. Espacio flex con baño completo: Personaliza este versátil espacio según tus necesidades: una recámara adicional, estudio, o sala de TV. Planta Alta: 2 recámaras secundarias: Amplias y luminosas, con espacio para clóset y un baño completo compartido. Recámara principal: Un verdadero santuario personal, con espacio para vestidor y un baño completo privado, brindándote el confort y la privacidad que mereces. Esta casa no es solo una propiedad, es una inversión en tu calidad de vida. Con un diseño pensado para ofrecerte comodidad y funcionalidad, y una ubicación inmejorable, esta es la oportunidad que has estado esperando. No dejes pasar esta oportunidad única de vivir en el lugar de tus sueños. ¡Contáctanos hoy mismo y agenda una visita para descubrir todo lo que esta casa tiene para ofrecerte! ¡Tu nuevo hogar te espera en Tulancingo!"
4,E1,445000,445000,22304,2024-11-05,VENTA DE CASA C CARLOS CHÁVEZ JARDINES DEL SUR  TULANCINGO,115,200,3869.565217391305,2225.0,2024-04-02,131,4,2024-08-13,Casa,Venta,2,4,3,1,3.5,No,,jardines del sur,tulancingo de bravo,hidalgo,jardines del sur,43660.0,"Jardines Del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-749297cfeed6-af28-a292334-8fe1-4ca3,"GRAN OPORTUNIDAD DE CASA CON EXCELENTE UBICACION CERCA DE AVENIDAS, PRINCIPALES, ESCUELAS, BANCOS, HOSPITALES, CENTROS COMERCIALES, CUENTA CON UNA COMODA ESTANCIA, COCINA INTEGRAL, CON 4 HABITACIONES, 3.5 BAÑOS, 2 LUGARES DE ESTACIONAMIENTOS.                               *NO SE ACEPTAN CREDITOS*"
5,E1,455000,455000,22805,2024-11-05,CASA EN VENTA EN TULANCINGO HIDALGO,105,200,4333.333333333333,2275.0,2024-07-18,26,0,2024-08-13,Casa,Venta,2,4,3,0,3.0,No,,jardines del sur,tulancingo de bravo,hidalgo,jardines del sur,43660.0,"Jardines Del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-2bef3bcd117a-f882-190c81b-add5-7498,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSA CASA.LA DISTRIBUCIÓN ES: SALA, COMEDOR, COCINA, 4 RECAMARAS AMPLIAS, 3 BAÑOS, 1 LUGARE ESTACIONAMIENTO, CUARTO DE LAVADO.EXCELENTE UBICACIÓN              CERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES"
6,E1,455000,455000,22805,2024-11-05,"VENTA DE CASA EN CALLE CARLOS CHAVEZ 207, COL JARDINES DEL SUR 2da Secc, CP 43660, MUNICIPIO TULANCINGO, ESTADO HIDALGO",105,200,4333.333333333333,2275.0,2024-06-14,60,1,2024-08-13,Casa,Venta,2,4,3,0,3.0,No,,jardines del sur,tulancingo de bravo,hidalgo,jardines del sur,43660.0,"Jardines Del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-f243df62beae-2c4f-54136a6f-a6ad-4990,"¡gran oportunidad de inversión en esta casa de recuperación bancaria! esta propiedad ofrece una excelente opción para aquellos que buscan una inversión sólida en bienes raíces. situada en una ubicación privilegiada, esta casa cuenta con [número de habitaciones] 4 habitaciones, [número de baños]3 baños y [otros detalles como tamaño del terreno, características adicionales, etc.]. con un precio muy atractivo y un gran potencial de retorno de inversión, esta propiedad es ideal tanto para inversionistas experimentados como para aquellos que buscan su primera incursión en el mercado inmobiliario. ¡no dejes pasar esta oportunidad de adquirir una propiedad a un precio por debajo del mercado! contáctanos hoy mismo para programar una visita y descubrir todo el potencial que esta casa de recuperación bancaria tiene para ofrecer."
7,E1,455000,455000,22805,2024-11-05,VENTA DE CASA  CARLOS CHÁVEZ  JARDINES DEL SUR 4TA SECC TULANCINGO,115,200,3956.521739130435,2275.0,2024-04-02,131,4,2024-08-13,Casa,Venta,2,4,3,1,3.5,No,,jardines del sur,tulancingo de bravo,hidalgo,jardines del sur,43660.0,"Jardines Del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-ee5d2509a01e-cac-1d54b638-be42-455c,"GRAN OPORTUNIDAD DE CASA CON EXCELENTE UBICACION CERCA DE AVENIDAS, PRINCIPALES, ESCUELAS, BANCOS, HOSPITALES, CENTROS COMERCIALES, CUENTA CON UNA COMODA ESTANCIA, COCINA INTEGRAL, CON 4 HABITACIONES, 3.5 BAÑOS, 2 LUGARES DE ESTACIONAMIENTOS.                                    *NO SE ACEPTAN CREDITOS*"
8,E2,590000,590000,29571,2024-11-05,VENTA AMPLIA Y HERMOSA CASA EN JARDINES DEL SUR HIDALGO,300,204,1966.6666666666667,2892.156862745098,2024-07-10,33,1,2024-08-13,Casa,Venta,2,4,3,0,3.0,No,,jardines del sur,tulancingo de bravo,hidalgo,jardines del sur,43660.0,"Jardines Del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-995ebf03c435-efb2-e16b5706-8806-47a1,"¿QUIERES DEJAR DE MALGASTAR TU DINERO EN RENTAS E INVERTIR EN UNA PROPIEDAD?¿DESEAS INICIAR UN NEGOCIO, PERO NO SABES POR DÓNDE COMENZAR Y REQUIERES LA AYUDA DE PROFESIONALES? DEJA DE SOÑAR, Y HAZLO REALIDAD.AMPLIA CASA QUE CUENTA CON: 4 HABITACIONES, 3 BAÑOS, SALA, COMEDOR Y 1 LUGAR DE ESTACIONAMIENTO, CERCA DE DIVERSOS SERVICIOS COMO SON:  ESCUELAS, HOSPITALES, HOTELES, PARQUES, FARMACIAS, RESTAURANTES Y ÁREAS DE ESPARCIMIENTO, A 5 MIN. DE SAM´S CLUB TULANCINGO, 7 MIN. DEL MUSEO DEL FERROCARRIL DE TULANCINGO Y 9 MIN. DEL INSTITUTO DE CIENCIAS AGROPECUARIAS, CERCA DE VIALIDADES PRINCIPALES PARA ACCEDER AL INMUEBLE, COMO SON: BLVD. BICENTENARIO, GRAL. L. CÁRDENAS Y CALZ. LOS ROMEROS.Es una gran opción para adquirir un Patrimonio muy asequible, y brindar a tu familia el confort y calidad de vida que siempre has deseado, todo ello, por un monto mucho menor a su valor comercial. RECUPERACIÓN BANCARIA// FIRMA DE CESIÓN DE DERECHOS ANTE NOTARIO// ENTREGA GARANTIZADA BAJO CONTRATO//  ASESORÍA SIN COSTO AL TELEFÓNO Ver teléfono Whatsapp."
9,E2,500000,500000,25060,2024-11-05,"¡¡¡BONITA CASA EN TULANCINGO, HIDALGO!!! .SOC.",165,225,3030.3030303030305,2222.222222222222,2023-12-14,240,7,2024-08-13,Casa,Venta,2,4,1,1,1.5,No,,20 de noviembre,tulancingo de bravo,hidalgo,20 de noviembre,43689.0,"20 de Noviembre, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-d3c83135766a-5b1a-91985170-a46d-4208,"* ¡GRAN OPORTUNIDAD DE COMPRAR TU CASA! * ¡SÚPER PRECIO!¡¡¡BONITA CASA EN TULANCINGO, HIDALGO!!!* ¡GRAN OPORTUNIDAD DE INVERSIÓN! *BUENA UBICACIÓN CON ALTA PLUSVALÍA.CERCA DE LA CARRETERA TULANCINGO - HAUCHINANGO Y DE LA BODEGA AURRERA TULANCINGO.RODEADA DE PARQUES, CENTROS COMERCIALES Y RESTAURANTES.BLVD. LA MORENA COMO VÍA PRINCIPAL DE ACCESO.¡PAGO SOLO CON RECURSOS PROPIOS, EN 2 EXHIBICIONES! * NO CRÉDITOS *ASESORÍA GRATUITAINFORMACIÓN Y CITAS:TEL / WHATSAPP: Ver teléfono WhatsappLIC. STEPHANIE OROZCO."
10,E2,622000,622000,31175,2024-11-05,"Casa en venta  Guadalupe 1ra Sección, Tulancingo, Hidalgo  DD41 GR",230,230,2704.3478260869565,2704.3478260869565,2023-11-16,268,8,2024-08-13,Casa,Venta,2,4,3,0,3.0,No,,francisco i madero,tulancingo de bravo,hidalgo,francisco i. madero,43650.0,"Francisco I Madero, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-cba1ec894a47-74a-382d2619-87dd-4c9b,"VENTA DE CASA EN REMATE!! Gran Oportunidad de Inversión !!Gpe 1ra Secc, Tulancingo, Hidalgo230m24 Habitaciones3 BañosEstacionamiento$622,000Citas e informesLic. Diego Díaz Whatsapp 55, 68, 83, 62, 41 - Grupo líder en el medio de garantías hipotecarias.  - No es posible uso de créditos.  - Entrega garantizada, nuestra experiencia nos respalda.   Citas. Whatsapp 55, 68, 83, 62, 41  Tu nuevo comienzo es hoy."
